title,date,url,description,source,relevance_score
Siete preguntas sobre la candidatura de Cristina Kirchner a diputada provincial,2025-06-03,https://infocielo.com/politica-y-economia/siete-preguntas-sobre-la-candidatura-de-cristina-kirchner-a-diputada-provincial,"Cristina Kirchner confirmó por televisión que será candidata a diputada provincial por la Tercera Sección electoral, una región que agrupa a gran parte de los municipios del conurbano sur – incluye 19 distritos- y tiene casi cinco millones de electores.  El anuncio ratificó la versión que ya habían ",https://infocielo.com,1
Denuncian que el Gobierno Nacional va a crear un impuesto al tránsito en las rutas,2025-06-09,https://infocielo.com/politica-y-economia/denuncian-que-el-gobierno-nacional-va-a-crear-un-impuesto-al-transito-en-las-rutas,El Comité Nacional de Defensa del Usuario Vial (CONADUV) anunció que no va a participar de las audiencias públicas covocadas para presentar dos etapas de la Red Federal de Concesiones. Así se llama el proyecto impulsado por el gobierno de Javier Milei para privatizar unos 9100 kilómetros de ruta. ¿P,https://infocielo.com,1
Perlitas de una sesión privada en el Senado,2025-06-04,https://infocielo.com/politica-y-economia/perlitas-de-una-sesion-privada-en-el-senado,"Este martes se cayó la segunda sesión ordinaria del año en dónde se iba a tratar, entre otros temas, el proyecto para volver a permitir las reelecciones eternas de legisladores, concejales y consejeros escolares que presentó el kirchnerista Luis Vivona. Unión por la Patria tenía el quórum cerrado co",https://infocielo.com,1
El intendente de Hipólito Yrigoyen despedazó a Majul: “Es un mercenario”,2025-06-09,https://infocielo.com/politica-y-economia/el-intendente-de-hipolito-yrigoyen-despedazo-a-majul-es-un-mercenario,"El intendente de Hipólito Yrigoyen, Ignacio Pugnaloni, apuntó con dureza contra el operador periodístico Luis Majul y lo calificó directamente como “mercenario”, en respuesta a sus dichos sobre la obra pública en el distrito.  “Compra mercadería podrida del distrito”, sentenció el jefe comunal al re",https://infocielo.com,1
El dilema de Kicillof frente al delicado momento de Cristina Kirchner,2025-06-09,https://infocielo.com/politica-y-economia/el-dilema-de-kicillof-frente-al-delicado-momento-de-cristina-kirchner,"La hipótesis sobre la inminente publicación de un fallo condenatorio de la Corte Suprema contra Cristina Kirchner volvió a sacudir al peronismo. Y las olas, parecidas a las de un tsunami, golpean con fuerza en La Plata, poniendo en alerta a Axel Kicillof y a su construcción política.  El capítulo de",https://infocielo.com,1
"Bianco pidió unidad y respaldó a Kicillof: “Para ganar las elecciones, es condición necesaria”",2025-06-09,https://diariohoy.net/politica/bianco-pidio-unidad-y-respaldo-a-kicillof-para-ganar-las-elecciones-es-condicion-necesaria-270585,"Carlos Bianco, ministro de Gobierno bonaerense y uno de los funcionarios más cercanos a Axel Kicillof, aseguró que la unidad del peronismo en la Provincia “es condición necesaria para ganar las elecciones” y explicó que el acuerdo entre el Gobernador y Cristina Kirchner apunta a construir una mesa d",https://diariohoy.net,1
Máximo Kirchner presiona por la unidad,2025-06-09,https://diariohoy.net/politica/maximo-kirchner-presiona-por-la-unidad-270602,"El presidente del PJ bonaerense, Máximo Kirchner, dejó un fuerte mensaje a la interna peronista: pidió unidad en el armado de listas y cuestionó el desdoblamiento electoral impulsado por Kicillof. “No podemos dejar que una elección se convierta en una estrategia de salvación personal”, advirtió el r",https://diariohoy.net,1
El PJ se reúne de urgencia por el posible fallo de la Corte y se espera un fuerte mensaje de Cristina Kirchner,2025-06-09,https://www.clarin.com/politica/pj-reune-urgencia-posible-fallo-corte-espera-fuerte-mensaje-cristina-kirchner_0_sTwKSIIALU.html,"En medio de la tensión generada por un posible fallo de la Corte Suprema de Justicia contra Cristina Kirchner que ratificaría la condena a 6 a años de prisión por la causa Vialidad, el PJ se reúne este lunes de urgencia en su histórica sede de Matheu 130 para dar su apoyo a la ex presidenta, que cer",https://www.clarin.com,1
"“Basta de perseguir a Cristina”, el gesto de Axel Kicillof a la espera del fallo de la Corte Suprema por la condena en la causa Vialidad",2025-06-09,https://www.clarin.com/politica/basta-perseguir-cristina-gesto-axel-kicillof-espera-fallo-corte-suprema-condena-causa-vialidad_0_5khiQIZiL2.html,"Axel Kicillof publicó un mensaje a través de su espacio político Movimiento Derecho al Futuro, con un claro gesto hacia Cristina Kirchner, en medio de la dura interna que atraviesa el Partido Justicialista y que tiene a ambos dirigentes como protagonistas.  ""¡Basta de perseguir a Cristina, basta de ",https://www.clarin.com,1
Cristina Kirchner se refugia en un acto del PJ a la espera del fallo de la Corte,2025-06-09,https://www.perfil.com/noticias/politica/el-pj-se-reune-de-urgencia-ante-el-posible-fallo-de-la-corte-suprema-contra-cristina-kirchner.phtml,"Cristina Kirchner esperará el fallo de la Corte Suprema sobre la Causa Vialidad, si se produce, en la sede porteña del Partido Justicialista. Mientras crecen las versiones de que el Máximo Tribunal confirmará la condena a 6 años de prisión, que por su edad sería domiciliaria, e inhabilitación para e",https://www.perfil.com,1
